MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,USERNAME,UDATE,UTIME,TCODE,LANGU
M1,BELEG,M1V363234P36,13850,Roy Ortego,2020-12-19,08:38:08,123,E
M1,BELEG,M1V363199P3,13864,Roy Ortego,2020-12-18,06:35:48,123,E
M1,BELEG,M1V364066P12,13877,Roy Ortego,2021-01-05,11:31:16,123,E
M1,BELEG,M1V364107P51,13885,Roy Ortego,2020-12-27,19:53:58,123,E
M1,BELEG,M1V364105P28,13892,Roy Ortego,2020-12-26,04:45:21,123,E
M1,BELEG,M1V364045P12,13903,Roy Ortego,2020-12-23,09:20:24,123,E
M1,BELEG,M1V359123P70,13910,Suellen Noecker,2020-12-19,23:40:35,123,E
M1,BELEG,M1V359120P44,13924,Suellen Noecker,2020-12-30,07:11:37,123,E
M1,BELEG,M1V359072P160,13932,Roy Ortego,2020-12-29,05:44:56,123,E
M1,BELEG,M1V360058P12,13952,Roy Ortego,2021-01-01,06:43:53,123,E
M1,BELEG,M1V359966P51,13985,Emmie Schuldt,2020-12-19,16:58:50,123,E
M1,BELEG,M1V360006P3,13992,Roy Ortego,2020-12-16,19:40:19,123,E
M1,BELEG,M1V359991P51,13999,Roy Ortego,2021-01-18,07:59:55,123,E
M1,BELEG,M1V358137P28,14007,Kenia Romine,2020-12-31,11:44:44,123,E
M1,BELEG,M1V358126P90,14014,Roy Ortego,2020-12-11,22:50:18,123,E
M1,BELEG,M1V358128P36,14021,Kenia Romine,2020-12-15,16:22:17,123,E
M1,BELEG,M1V359052P3,14028,Roy Ortego,2020-12-16,07:32:41,123,E
M1,BELEG,M1V12378P36,14048,Emmie Schuldt,2021-04-23,03:47:15,123,E
M1,BELEG,M1V12378P3,14055,Roy Ortego,2021-03-25,17:04:47,123,E
M1,BELEG,M1V359017P36,14062,Emilio Sones,2021-01-01,04:55:41,123,E
M1,BELEG,M1V358988P70,14070,Roy Ortego,2020-12-24,14:59:56,123,E
M1,BELEG,M1V358992P12,14078,Suellen Noecker,2020-12-23,02:45:41,123,E
M1,BELEG,M1V361105P18,14098,Roy Ortego,2020-12-24,18:06:10,123,E
M1,BELEG,M1V361234P3,14106,Roy Ortego,2021-01-18,04:08:36,123,E
M1,BELEG,M1V361193P12,14124,Roy Ortego,2021-01-11,07:38:31,123,E
M1,BELEG,M1V360103P3,14138,Roy Ortego,2020-12-12,16:09:35,123,E
M1,BELEG,M1V369035P28,14192,Roy Ortego,2020-12-31,16:19:23,123,E
M1,BELEG,M1V368967P150,14204,Suellen Noecker,2021-01-11,19:39:50,123,E
M1,BELEG,M1V369154P18,14265,Roy Ortego,2020-12-29,01:58:35,123,E
M1,BELEG,M1V369106P4896,14273,Emilio Sones,2020-12-27,20:23:10,123,E
M1,BELEG,M1V368144P100,14304,Roy Ortego,2020-12-30,03:42:17,123,E
M1,BELEG,M1V368127P18,14312,Roy Ortego,2021-01-03,10:05:41,123,E
M1,BELEG,M1V368140P12,14319,Roy Ortego,2021-01-18,09:59:08,123,E
M1,BELEG,M1V370158P1427,14352,Roy Ortego,2021-01-23,01:33:30,123,E
M1,BELEG,M1V370208P160,14360,Roy Ortego,2021-01-09,19:51:10,123,E
M1,BELEG,M1V370036P51,14392,Roy Ortego,2021-01-09,21:32:46,123,E
M1,BELEG,M1V370030P3118,14407,Roy Ortego,2021-01-04,22:56:53,123,E
M1,BELEG,M1V369171P36,14444,Suellen Noecker,2020-12-28,19:00:28,123,E
M1,BELEG,M1V369186P28,14481,Roy Ortego,2021-01-11,22:00:53,123,E
M1,BELEG,M1V369186P12,14488,Karri Ptacek,2021-01-23,11:50:33,123,E
M1,BELEG,M1V369182P12,14496,Roy Ortego,2021-01-12,04:10:43,123,E
M1,BELEG,M1V370115P36,14504,Roy Ortego,2021-01-20,07:50:48,123,E
M1,BELEG,M1V365297P3,14558,Karri Ptacek,2021-01-20,15:22:15,123,E
M1,BELEG,M1V366128P18,14572,Roy Ortego,2020-12-30,05:04:04,123,E
M1,BELEG,M1V366169P3,14591,Roy Ortego,2021-01-13,17:39:31,123,E
M1,BELEG,M1V365154P36,14617,Roy Ortego,2021-01-09,14:43:26,123,E
M1,BELEG,M1V365209P3,14692,Roy Ortego,2020-12-30,09:05:26,123,E
M1,BELEG,M1V365205P130,14704,Emilio Sones,2020-12-27,01:31:34,123,E
M1,BELEG,M1V365231P3,14717,Roy Ortego,2020-12-29,18:33:21,123,E
M1,BELEG,M1V367975P3,14782,Suellen Noecker,2020-12-31,17:54:57,123,E
M1,BELEG,M1V367178P51,14838,Roy Ortego,2021-02-07,22:37:35,123,E
M1,BELEG,M1V366237P12,14859,Roy Ortego,2020-12-27,17:01:59,123,E
M1,BELEG,M1V367027P140,14870,Roy Ortego,2020-12-30,07:14:39,123,E
M1,BELEG,M1V367025P12,14877,Roy Ortego,2021-01-02,23:39:40,123,E
M1,BELEG,M1V367010P51,14890,Roy Ortego,2021-01-03,02:26:41,123,E
M1,BELEG,M1V403464P51,14912,Roy Ortego,2021-03-26,12:41:50,123,E
M1,BELEG,M1V403464P12,14929,Roy Ortego,2021-04-02,20:25:47,123,E
M1,BELEG,M1V302379P2141,14942,Suellen Noecker,2020-07-30,03:32:35,123,E
M1,BELEG,M1V302379P1427,14950,Roy Ortego,2020-07-27,07:24:55,123,E
M1,BELEG,M1V404513P60,14973,Roy Ortego,2021-04-21,13:12:12,123,E
M1,BELEG,M1V404512P12,14980,Kenia Romine,2021-04-10,15:30:32,123,E
M1,BELEG,M1V404387P5007,14987,Roy Ortego,2021-04-06,04:41:35,123,E
M1,BELEG,M1V403298P70,15019,Emmie Schuldt,2021-04-25,11:53:28,123,E
M1,BELEG,M1V403301P3,15027,Roy Ortego,2021-05-05,18:10:19,123,E
M1,BELEG,M1V403346P3,15040,Roy Ortego,2021-04-02,01:13:09,123,E
M1,BELEG,M1V402364P12,15048,Karri Ptacek,2021-04-22,19:43:19,123,E
M1,BELEG,M1V403297P270,15055,Roy Ortego,2021-04-30,04:31:23,123,E
M1,BELEG,M1V403297P170,15062,Roy Ortego,2021-04-27,20:23:55,123,E
M1,BELEG,M1V403297P80,15069,Roy Ortego,2021-04-28,20:54:37,123,E
M1,BELEG,M1V403297P320,15076,Roy Ortego,2021-04-27,23:56:28,123,E
M1,BELEG,M1V403294P12,15084,Karri Ptacek,2021-05-03,19:06:47,123,E
M1,BELEG,M1V405687P3,15120,Kenia Romine,2021-04-05,01:22:17,123,E
M1,BELEG,M1V405657P3,15142,Kenia Romine,2021-04-01,10:49:28,123,E
M1,BELEG,M1V302573P18,15150,Roy Ortego,2020-08-21,10:47:37,123,E
M1,BELEG,M1V405603P865,15157,Roy Ortego,2021-04-20,18:20:42,123,E
M1,BELEG,M1V405783P18,15165,Roy Ortego,2021-04-12,01:17:09,123,E
M1,BELEG,M1V405771P3,15172,Emmie Schuldt,2021-03-31,12:48:19,123,E
M1,BELEG,M1V405727P150,15215,Emilio Sones,2021-03-27,13:35:17,123,E
M1,BELEG,M1V302491P36,15270,Kenia Romine,2020-08-18,00:00:36,123,E
M1,BELEG,M1V404556P70,15286,Roy Ortego,2021-03-21,14:35:24,123,E
M1,BELEG,M1V405566P12,15316,Roy Ortego,2021-04-23,04:54:54,123,E
M1,BELEG,M1V405577P36,15341,Suellen Noecker,2021-04-06,08:27:28,123,E
M1,BELEG,M1V399986P18,15361,Emilio Sones,2021-03-18,20:41:43,123,E
M1,BELEG,M1V302062P3,15368,Roy Ortego,2020-08-05,08:57:25,123,E
M1,BELEG,M1V399929P3995,15375,Suellen Noecker,2021-03-15,16:49:04,123,E
M1,BELEG,M1V399955P18,15382,Roy Ortego,2021-03-22,23:16:02,123,E
M1,BELEG,M1V400977P12,15409,Roy Ortego,2021-03-18,03:19:55,123,E
M1,BELEG,M1V400991P90,15423,Roy Ortego,2021-03-23,01:53:08,123,E
M1,BELEG,M1V398895P3,15447,Emilio Sones,2021-03-23,04:50:42,123,E
M1,BELEG,M1V398889P3,15454,Roy Ortego,2021-03-18,12:26:54,123,E
M1,BELEG,M1V398826P36,15475,Roy Ortego,2021-03-31,05:49:58,123,E
M1,BELEG,M1V398849P51,15491,Roy Ortego,2021-03-24,07:11:07,123,E
M1,BELEG,M1V402224P36,15527,Roy Ortego,2021-03-27,22:13:31,123,E
M1,BELEG,M1V402310P2141,15563,Roy Ortego,2021-04-13,15:55:34,123,E
M1,BELEG,M1V401123P1427,15605,Roy Ortego,2021-04-16,14:48:36,123,E
M1,BELEG,M1V302161P36,15646,Roy Ortego,2020-08-03,05:41:32,123,E
M1,BELEG,M1V401165P4685,15681,Roy Ortego,2021-04-03,21:45:57,123,E
M1,BELEG,M1V2133P3118,15688,Roy Ortego,2020-09-23,03:58:22,123,E
M1,BELEG,M1V410973P3,15695,Roy Ortego,2021-04-17,21:16:50,123,E
M1,BELEG,M1V411040P12,15703,Roy Ortego,2021-05-20,17:20:30,123,E
M1,BELEG,M1V411085P3,15710,Roy Ortego,2021-04-11,04:39:55,123,E
M1,BELEG,M1V409951P3,15725,Roy Ortego,2021-04-15,02:11:51,123,E
M1,BELEG,M1V303003P18,15746,Roy Ortego,2020-08-30,00:11:04,123,E
M1,BELEG,M1V409930P3,15754,Roy Ortego,2021-05-05,14:52:13,123,E
M1,BELEG,M1V410031P28,15764,Roy Ortego,2021-04-03,09:12:29,123,E
M1,BELEG,M1V412210P12,15793,Roy Ortego,2021-04-24,16:12:30,123,E
M1,BELEG,M1V412249P90,15800,Roy Ortego,2021-04-11,15:24:44,123,E
M1,BELEG,M1V413243P44,15808,Roy Ortego,2021-04-16,07:55:11,123,E
M1,BELEG,M1V413189P44,15844,Roy Ortego,2021-04-22,22:31:21,123,E
M1,BELEG,M1V412059P12,15863,Roy Ortego,2021-05-04,13:46:35,123,E
M1,BELEG,M1V411214P3,15878,Emilio Sones,2021-04-15,02:35:35,123,E
M1,BELEG,M1V412180P3,15925,Roy Ortego,2021-04-28,09:29:21,123,E
M1,BELEG,M1V412116P28,15943,Roy Ortego,2021-04-11,11:03:01,123,E
M1,BELEG,M1V412127P3,15991,Suellen Noecker,2021-04-19,21:11:37,123,E
M1,BELEG,M1V302795P3,15998,Roy Ortego,2020-08-19,23:02:11,123,E
M1,BELEG,M1V407713P36,16006,Roy Ortego,2021-03-31,22:57:13,123,E
M1,BELEG,M1V407694P36,16013,Roy Ortego,2021-04-01,17:44:41,123,E
M1,BELEG,M1V407662P36,16041,Roy Ortego,2021-04-26,11:31:51,123,E
M1,BELEG,M1V406863P110,16049,Roy Ortego,2021-04-29,07:32:48,123,E
M1,BELEG,M1V407816P60,16077,Roy Ortego,2021-04-07,21:19:17,123,E
M1,BELEG,M1V407807P12,16113,Roy Ortego,2021-04-25,19:52:49,123,E
M1,BELEG,M1V407755P80,16128,Karri Ptacek,2021-04-21,19:47:08,123,E
M1,BELEG,M1V406682P3,16135,Roy Ortego,2021-04-02,10:17:26,123,E
M1,BELEG,M1V406652P70,16187,Roy Ortego,2021-04-14,12:52:39,123,E
M1,BELEG,M1V302693P18,16236,Emilio Sones,2020-08-13,19:49:31,123,E
M1,BELEG,M1V408866P12,16276,Karri Ptacek,2021-04-17,04:55:36,123,E
M1,BELEG,M1V408997P18,16317,Roy Ortego,2021-04-12,04:30:49,123,E
M1,BELEG,M1V408963P3,16324,Suellen Noecker,2021-04-09,19:06:38,123,E
M1,BELEG,M1V407835P3,16351,Roy Ortego,2021-04-10,17:52:15,123,E
M1,BELEG,M1V407875P80,16359,Roy Ortego,2021-04-03,16:06:04,123,E
M1,BELEG,M1V407862P3,16373,Roy Ortego,2021-04-15,20:35:21,123,E
M1,BELEG,M1V407872P12,16394,Roy Ortego,2021-03-28,20:33:50,123,E
M1,BELEG,M1V408771P3,16407,Emmie Schuldt,2021-04-15,14:16:50,123,E
M1,BELEG,M1V389807P12,16432,Roy Ortego,2021-02-16,15:16:16,123,E
M1,BELEG,M1V389780P28,16455,Roy Ortego,2021-03-10,15:24:55,123,E
M1,BELEG,M1V389905P3,16463,Roy Ortego,2021-03-14,06:37:16,123,E
M1,BELEG,M1V389952P18,16470,Roy Ortego,2021-03-25,07:58:01,123,E
M1,BELEG,M1V389895P12,16484,Roy Ortego,2021-03-12,15:30:31,123,E
M1,BELEG,M1V389884P3,16492,Roy Ortego,2021-03-15,03:32:45,123,E
M1,BELEG,M1V388825P18,16505,Roy Ortego,2021-03-06,10:18:21,123,E
M1,BELEG,M1V391055P3,16512,Roy Ortego,2021-03-14,03:05:53,123,E
M1,BELEG,M1V390993P12,16520,Kenia Romine,2021-02-21,02:56:52,123,E
M1,BELEG,M1V301301P12,16528,Roy Ortego,2020-07-27,18:37:32,123,E
M1,BELEG,M1V389975P865,16567,Roy Ortego,2021-03-16,21:46:42,123,E
M1,BELEG,M1V389991P3,16574,Roy Ortego,2021-02-23,01:41:38,123,E
M1,BELEG,M1V301198P51,16581,Roy Ortego,2020-08-10,16:49:51,123,E
M1,BELEG,M1V390966P3,16588,Roy Ortego,2021-03-11,13:22:01,123,E
M1,BELEG,M1V390894P2141,16596,Suellen Noecker,2021-02-28,21:15:30,123,E
M1,BELEG,M1V390877P36,16631,Karri Ptacek,2021-03-07,06:18:25,123,E
M1,BELEG,M1V386455P12,16654,Kenia Romine,2021-02-18,14:56:23,123,E
M1,BELEG,M1V300757P28,16661,Karri Ptacek,2020-08-13,07:18:44,123,E
M1,BELEG,M1V385573P3,16669,Roy Ortego,2021-02-18,22:33:26,123,E
M1,BELEG,M1V385566P90,16677,Roy Ortego,2021-02-09,11:29:26,123,E
M1,BELEG,M1V386512P36,16690,Emilio Sones,2021-02-04,11:28:52,123,E
M1,BELEG,M1V385405P12,16707,Roy Ortego,2021-01-31,15:08:18,123,E
M1,BELEG,M1V385371P70,16738,Roy Ortego,2021-02-10,00:51:52,123,E
M1,BELEG,M1V385525P12,16746,Roy Ortego,2021-02-10,20:45:41,123,E
M1,BELEG,M1V385511P28,16788,Roy Ortego,2021-02-07,11:35:33,123,E
M1,BELEG,M1V387782P12,16795,Emmie Schuldt,2021-03-09,07:39:30,123,E
M1,BELEG,M1V387730P12,16830,Roy Ortego,2021-02-23,05:03:43,123,E
M1,BELEG,M1V387725P12,16837,Roy Ortego,2021-02-17,12:25:03,123,E
M1,BELEG,M1V387712P28,16844,Roy Ortego,2021-02-19,18:25:46,123,E
M1,BELEG,M1V387820P80,16904,Emilio Sones,2021-04-07,16:51:53,123,E
M1,BELEG,M1V387566P3,16915,Roy Ortego,2021-02-22,02:46:19,123,E
M1,BELEG,M1V386651P80,16950,Roy Ortego,2021-03-03,13:53:15,123,E
M1,BELEG,M1V387623P70,16962,Suellen Noecker,2021-04-01,14:21:28,123,E
M1,BELEG,M1V387586P36,17008,Roy Ortego,2021-02-16,15:26:40,123,E
M1,BELEG,M1V387584P60,17016,Roy Ortego,2021-02-07,01:48:32,123,E
M1,BELEG,M1V396571P60,17024,Karri Ptacek,2021-03-26,17:16:03,123,E
M1,BELEG,M1V396505P80,17031,Roy Ortego,2021-04-07,02:03:28,123,E
M1,BELEG,M1V301831P3,17060,Roy Ortego,2020-08-09,01:22:55,123,E
M1,BELEG,M1V396655P28,17068,Roy Ortego,2021-05-03,06:01:06,123,E
M1,BELEG,M1V396618P18,17088,Roy Ortego,2021-03-11,03:30:00,123,E
M1,BELEG,M1V395467P28,17102,Roy Ortego,2021-03-22,11:00:35,123,E
M1,BELEG,M1V395456P18,17110,Roy Ortego,2021-03-01,12:07:47,123,E
M1,BELEG,M1V396484P90,17117,Roy Ortego,2021-03-10,02:49:35,123,E
M1,BELEG,M1V396489P2820,17145,Kenia Romine,2021-03-09,14:09:58,123,E
M1,BELEG,M1V396419P3,17152,Roy Ortego,2021-03-24,13:28:46,123,E
M1,BELEG,M1V396445P3,17174,Roy Ortego,2021-03-04,14:41:22,123,E
M1,BELEG,M1V396438P3,17182,Roy Ortego,2021-03-18,04:35:17,123,E
M1,BELEG,M1V398647P3,17190,Roy Ortego,2021-05-01,15:00:33,123,E
M1,BELEG,M1V1902P865,17208,Karri Ptacek,2020-08-30,00:53:37,123,E
M1,BELEG,M1V397649P4798,17252,Roy Ortego,2021-03-15,04:54:34,123,E
M1,BELEG,M1V393121P3,17292,Roy Ortego,2021-03-11,07:11:19,123,E
M1,BELEG,M1V393057P120,17305,Roy Ortego,2021-04-03,11:15:58,123,E
M1,BELEG,M1V393207P12,17328,Roy Ortego,2021-03-02,10:03:10,123,E
M1,BELEG,M1V392149P90,17349,Kenia Romine,2021-04-19,07:11:23,123,E
M1,BELEG,M1V392055P3,17357,Roy Ortego,2021-02-21,17:01:01,123,E
M1,BELEG,M1V395280P3,17382,Roy Ortego,2021-03-28,15:01:16,123,E
M1,BELEG,M1V395277P12,17389,Roy Ortego,2021-03-27,22:06:02,123,E
M1,BELEG,M1V394353P90,17430,Roy Ortego,2021-03-13,20:49:21,123,E
M1,BELEG,M1V395366P51,17462,Roy Ortego,2021-03-12,14:26:08,123,E
M1,BELEG,M1V395353P180,17485,Roy Ortego,2021-03-21,06:37:06,123,E
M1,BELEG,M1V394169P36,17525,Roy Ortego,2021-03-14,12:21:57,123,E
M1,BELEG,M1V394132P3,17543,Roy Ortego,2021-03-11,09:04:28,123,E
M1,BELEG,M1V394328P1427,17550,Emmie Schuldt,2021-03-06,05:13:01,123,E
M1,BELEG,M1V1103224P12,17586,Emilio Sones,2021-04-15,07:30:18,123,E
M1,BELEG,M1V1103729P12,17626,Emmie Schuldt,2021-04-19,15:15:56,123,E
M1,BELEG,M1V1103709P130,17633,Roy Ortego,2021-04-22,03:13:11,123,E
M1,BELEG,M1V1102092P51,17653,Roy Ortego,2021-04-15,22:42:43,123,E
M1,BELEG,M1V1101204P51,17660,Emilio Sones,2021-04-17,09:09:12,123,E
M1,BELEG,M1V1102709P36,17672,Kenia Romine,2021-04-11,16:09:07,123,E
M1,BELEG,M1V1106264P80,17710,BATCH_JOB,2021-04-24,17:56:12,123,E
M1,BELEG,M1V1106308P28,17731,Roy Ortego,2021-05-03,20:38:38,123,E
M1,BELEG,M1V334337P12,17746,Roy Ortego,2020-10-28,09:12:31,123,E
M1,BELEG,M1V1107395P60,17769,Roy Ortego,2021-05-02,13:31:06,123,E
M1,BELEG,M1V1105233P70,17794,Roy Ortego,2021-04-19,05:57:21,123,E
M1,BELEG,M1V1105230P90,17801,Kenia Romine,2021-05-01,10:24:20,123,E
M1,BELEG,M1V334100P12,17815,Roy Ortego,2020-10-18,22:18:07,123,E
M1,BELEG,M1V1104706P60,17829,Roy Ortego,2021-04-30,07:12:04,123,E
M1,BELEG,M1V1105726P28,17842,Roy Ortego,2021-04-25,01:11:29,123,E
M1,BELEG,M1V1106226P70,17871,Roy Ortego,2021-04-27,10:04:50,123,E
M1,BELEG,M1V1105654P70,17890,Roy Ortego,2021-04-24,01:30:39,123,E
M1,BELEG,M1V1105677P60,17901,Roy Ortego,2021-04-25,04:46:19,123,E
M1,BELEG,M1V1096595P180,17936,Kenia Romine,2021-03-30,14:19:30,123,E
